,Reason i,Reason j,Correlations,Human Score
0,Followers of Tottenham Hotspur are ex-fans of KKS Lech Poznań.,condensed reason,-0.00027210884353741496,
1,The argument is valid based on the premises provided.,condensed reason,-0.00027210884353741496,
2,Premise: Followers of Tottenham Hotspur are ex-fans of KKS Lech Poznań.,condensed reason,-0.00027210884353741496,
3,Premise 1: Ex-fans of KKS Lech Poznań are not fans of FC Arouca or FC Dinamo Minsk.,condensed reason,-0.00027210884353741496,
4,All Tottenham Hotspur followers are former fans of KKS Lech Poznań.,condensed reason,-0.00027210884353741496,
5,The argument is deductively valid based on the premises provided.,condensed reason,-0.00027210884353741496,
6,"The conclusion logically follows from the given premises, making the argument deductively valid.",condensed reason,-0.00027210884353741496,
7,"Therefore, the argument is deductively valid.",condensed reason,-0.00027210884353741496,
8,Ex-fans of KKS Lech Poznań are neither opponents of FC Arouca nor admirers of FC Dinamo Minsk.,condensed reason,-0.00027210884353741496,
9,condensed reason,"The argument, given the explicitly stated premises, is deductively valid.",-0.00027210884353741496,
10,Followers of Tottenham Hotspur are ex-fans of KKS Lech Poznań.,The argument is valid.,-0.00031746031746031746,
11,The argument is valid based on the premises provided.,The argument is valid.,-0.00031746031746031746,
12,Premise: Followers of Tottenham Hotspur are ex-fans of KKS Lech Poznań.,The argument is valid.,-0.00031746031746031746,
13,Premise 1: Ex-fans of KKS Lech Poznań are not fans of FC Arouca or FC Dinamo Minsk.,The argument is valid.,-0.00031746031746031746,
14,The argument is valid.,All Tottenham Hotspur followers are former fans of KKS Lech Poznań.,-0.00031746031746031746,
15,The argument is valid.,The argument is deductively valid based on the premises provided.,-0.00031746031746031746,
16,The argument is valid.,"The conclusion logically follows from the given premises, making the argument deductively valid.",-0.00031746031746031746,
17,The argument is valid.,"Therefore, the argument is deductively valid.",-0.00031746031746031746,
18,The argument is valid.,Ex-fans of KKS Lech Poznań are neither opponents of FC Arouca nor admirers of FC Dinamo Minsk.,-0.00031746031746031746,
19,The argument is valid.,"The argument, given the explicitly stated premises, is deductively valid.",-0.00031746031746031746,
20,The argument is valid based on the premises provided.,The argument is deductively valid.,-0.00036281179138322,
21,Premise: Followers of Tottenham Hotspur are ex-fans of KKS Lech Poznań.,The argument is deductively valid.,-0.00036281179138322,
22,Premise 1: Ex-fans of KKS Lech Poznań are not fans of FC Arouca or FC Dinamo Minsk.,The argument is deductively valid.,-0.00036281179138322,
23,All Tottenham Hotspur followers are former fans of KKS Lech Poznań.,The argument is deductively valid.,-0.00036281179138322,
24,The argument is deductively valid.,The argument is deductively valid based on the premises provided.,-0.00036281179138322,
25,The argument is deductively valid.,"The conclusion logically follows from the given premises, making the argument deductively valid.",-0.00036281179138322,
26,The argument is deductively valid.,"Therefore, the argument is deductively valid.",-0.00036281179138322,
27,The argument is deductively valid.,Ex-fans of KKS Lech Poznań are neither opponents of FC Arouca nor admirers of FC Dinamo Minsk.,-0.00036281179138322,
28,The argument is deductively valid.,"The argument, given the explicitly stated premises, is deductively valid.",-0.00036281179138322,
29,The premises establish relationships between fans of different football clubs.,condensed reason,-0.0004081632653061224,
30,"The conclusion logically follows from the premises, making the argument deductively valid.",condensed reason,-0.0004081632653061224,
31,Premise 2: Followers of Tottenham Hotspur are ex-fans of KKS Lech Poznań.,condensed reason,-0.0004081632653061224,
32,Ex-fans of KKS Lech Poznań do not support FC Arouca or FC Dinamo Minsk.,condensed reason,-0.0004081632653061224,
33,All followers of Tottenham Hotspur are ex-fans of KKS Lech Poznań.,condensed reason,-0.0004081632653061224,
34,All followers of Tottenham Hotspur are former fans of KKS Lech Poznań.,condensed reason,-0.0004081632653061224,
35,The premises establish relationships between fans of different football clubs.,The argument is valid.,-0.0004761904761904762,
36,"The conclusion logically follows from the premises, making the argument deductively valid.",The argument is valid.,-0.0004761904761904762,
37,Premise 2: Followers of Tottenham Hotspur are ex-fans of KKS Lech Poznań.,The argument is valid.,-0.0004761904761904762,
38,The argument is valid.,Ex-fans of KKS Lech Poznań do not support FC Arouca or FC Dinamo Minsk.,-0.0004761904761904762,
39,The argument is valid.,All followers of Tottenham Hotspur are ex-fans of KKS Lech Poznań.,-0.0004761904761904762,
40,The argument is valid.,All followers of Tottenham Hotspur are former fans of KKS Lech Poznań.,-0.0004761904761904762,
41,The premises establish relationships between fans of different football clubs.,The argument is deductively valid.,-0.0005442176870748299,
42,"The conclusion logically follows from the premises, making the argument deductively valid.",The argument is deductively valid.,-0.0005442176870748299,
43,Premise 2: Followers of Tottenham Hotspur are ex-fans of KKS Lech Poznań.,The argument is deductively valid.,-0.0005442176870748299,
44,Ex-fans of KKS Lech Poznań do not support FC Arouca or FC Dinamo Minsk.,The argument is deductively valid.,-0.0005442176870748299,
45,The argument is deductively valid.,All followers of Tottenham Hotspur are ex-fans of KKS Lech Poznań.,-0.0005442176870748299,
46,The argument is deductively valid.,All followers of Tottenham Hotspur are former fans of KKS Lech Poznań.,-0.0005442176870748299,
47,The argument is valid.,condensed reason,-0.0009523809523809524,
48,The argument is deductively valid.,condensed reason,-0.0010884353741496598,
49,The argument is valid.,The argument is deductively valid.,-0.0012698412698412698,
