,Reason i,Reason j,Correlations,Human Score
0,"If Raymond tells the truth, then Willian tells the truth.","If Tamika lies, Raymond tells the truth.",-0.00510204081632653,
1,Shaunda is lying.,Elanor does not tell the truth.,-0.0051700680272108845,
2,"If Shaunda lies, then Elanor tells the truth.",Elanor does not tell the truth.,-0.0051700680272108845,
3,Elanor does not tell the truth.,Eleanor tells the truth.,-0.0051700680272108845,
4,Elanor is lying.,"If Raymond tells the truth, Willian tells the truth.",-0.005306122448979592,
5,Elanor is lying.,"If Willian tells the truth, Shaunda lies.",-0.005306122448979592,
6,"If Tamika lies, then Raymond tells the truth.",Raymond tells the truth.,-0.005396825396825397,
7,"If Willian tells the truth, then Shaunda lies.","If Tamika lies, Raymond tells the truth.",-0.0054421768707483,
8,Tamika is lying.,Elanor does not tell the truth.,-0.005578231292517007,
9,"If Shaunda tells the truth, Elanor tells the truth.",Elanor does not tell the truth.,-0.005578231292517007,
10,Elanor tells the truth.,"If Tamika lies, then Raymond lies.",-0.005714285714285713,
11,"If Tamika lies, then Raymond tells the truth.","If Tamika lies, Raymond tells the truth.",-0.005782312925170068,
12,Shaunda tells the truth.,"If Tamika lies, then Raymond lies.",-0.005873015873015874,
13,Shaunda tells the truth.,"If Shaunda tells the truth, then Elanor lies.",-0.005873015873015874,
14,Elanor tells the truth.,Elanor tells the truth,-0.00598639455782313,
15,Elanor tells the truth.,Elanor does not tell the truth,-0.00598639455782313,
16,Elanor tells the truth.,"If Shaunda tells the truth, Elanor lies.",-0.00598639455782313,
17,Elanor tells the truth.,Shaunda tells the truth,-0.00598639455782313,
18,Elanor is lying.,"If Raymond tells the truth, then Willian tells the truth.",-0.006122448979591836,
19,Elanor is lying.,"If Tamika lies, Raymond tells the truth.",-0.006122448979591836,
20,"If Willian tells the truth, Shaunda lies.",Elanor does not tell the truth.,-0.006439909297052154,
21,Elanor is lying.,"If Willian tells the truth, then Shaunda lies.",-0.006530612244897959,
22,Elanor tells the truth.,Raymond tells the truth.,-0.006666666666666666,
23,Shaunda tells the truth.,Shaunda is telling the truth.,-0.0067120181405895705,
24,Elanor is lying.,"If Tamika lies, then Raymond tells the truth.",-0.006938775510204082,
25,Elanor tells the truth.,"Therefore, Elanor tells the truth.",-0.007482993197278911,
26,Elanor tells the truth.,"If Willian lies, Shaunda tells the truth.",-0.007482993197278911,
27,Shaunda tells the truth.,"If Raymond lies, then Willian lies.",-0.007551020408163266,
28,"If Tamika lies, Raymond tells the truth.",Elanor does not tell the truth.,-0.008163265306122448,
29,Tamika tells the truth.,Elanor does not tell the truth.,-0.008616780045351474,
30,Elanor tells the truth.,Eleanor tells the truth.,-0.008979591836734694,
31,"If Willian tells the truth, then Shaunda lies.",Elanor does not tell the truth.,-0.009024943310657597,
32,Willian tells the truth.,Elanor does not tell the truth.,-0.009478458049886621,
33,Shaunda tells the truth.,"If Tamika lies, then Raymond tells the truth.",-0.009501133786848073,
34,"If Tamika lies, then Raymond tells the truth.",Elanor does not tell the truth.,-0.009886621315192743,
35,Shaunda tells the truth.,"If Shaunda tells the truth, then Elanor tells the truth.",-0.010068027210884354,
36,Shaunda tells the truth.,"If Shaunda tells the truth, Elanor tells the truth.",-0.010068027210884354,
37,Shaunda tells the truth.,"If Willian lies, then Shaunda tells the truth.",-0.010068027210884354,
38,"If Shaunda tells the truth, then Elanor tells the truth.",Elanor does not tell the truth.,-0.010340136054421769,
39,Shaunda tells the truth.,"If Raymond tells the truth, Willian tells the truth.",-0.010907029478458051,
40,Shaunda tells the truth.,"If Willian tells the truth, Shaunda lies.",-0.010907029478458051,
41,Elanor tells the truth.,Shaunda is telling the truth.,-0.01197278911564626,
42,Shaunda tells the truth.,"If Raymond tells the truth, then Willian tells the truth.",-0.012585034013605442,
43,Shaunda tells the truth.,"If Tamika lies, Raymond tells the truth.",-0.012585034013605442,
44,"If Raymond tells the truth, then Willian tells the truth.",Elanor does not tell the truth.,-0.01292517006802721,
45,Shaunda tells the truth.,"If Willian tells the truth, then Shaunda lies.",-0.013424036281179141,
46,Elanor tells the truth.,Raymond is lying.,-0.014693877551020407,
47,Elanor tells the truth.,Willian is lying.,-0.01945578231292517,
48,Elanor tells the truth.,Elanor is lying.,-0.026938775510204082,
49,Elanor tells the truth.,Elanor does not tell the truth.,-0.05687074829931973,
