,Reason i,Reason j,Correlations,Human Score
0,"If Alexis is telling the truth, then Christie is lying.","If Gwenn says Delbert lies, and we already assumed Delbert tells the truth, then Gwenn must be lying.",0.15666666666666668,
1,"If Alexis is telling the truth, then Christie is lying.","If Audrie is telling the truth, then Christie is telling the truth.",0.1361904761904762,
2,Audrie's statement about Gwenn lying leads to a contradiction if Gwenn lies.,"If Gwenn says Delbert lies, and we already assumed Delbert tells the truth, then Gwenn must be lying.",0.11700680272108843,
3,Christie's statement about Audrie lying results in a contradiction if Audrie lies.,"If Gwenn says Delbert lies, and we already assumed Delbert tells the truth, then Gwenn must be lying.",0.10537414965986394,
4,"If Audrie is telling the truth, then Christie is telling the truth.","If Gwenn says Delbert lies, and we already assumed Delbert tells the truth, then Gwenn must be lying.",0.09129251700680271,
5,"If Alexis is telling the truth, then Christie is lying.","If Audrie tells the truth, then Gwenn lies. If Gwenn tells the truth, Audrie lies.",0.07761904761904762,
6,Gwenn is telling the truth.,Christie does not tell the truth.,0.07170068027210884,
7,Delbert is lying.,Gwenn is telling the truth.,0.07061224489795918,
8,"If Alexis is telling the truth, then Christie is lying.",Audrie's statement about Gwenn lying leads to a contradiction if Gwenn lies.,0.06984126984126986,
9,"If Audrie is telling the truth, then Christie is telling the truth.","If Audrie tells the truth, then Gwenn lies. If Gwenn tells the truth, Audrie lies.",0.0669387755102041,
10,"If Gwenn says Delbert lies, and we already assumed Delbert tells the truth, then Gwenn must be lying.","If Audrie tells the truth, then Gwenn lies. If Gwenn tells the truth, Audrie lies.",0.05993197278911565,
11,"If Audrie is telling the truth, then Christie is telling the truth.",Audrie's statement about Gwenn lying leads to a contradiction if Gwenn lies.,0.04625850340136055,
12,Audrie tells the truth.,Gwenn is telling the truth.,0.045442176870748294,
13,Delbert is lying.,Christie does not tell the truth.,0.04312925170068027,
14,"If Alexis is telling the truth, then Christie is lying.",Christie's statement about Audrie lying results in a contradiction if Audrie lies.,0.043015873015873014,
15,Audrie tells the truth.,Christie is telling the truth.,0.04240362811791383,
16,Gwenn is telling the truth.,Christie is telling the truth.,0.04149659863945579,
17,Audrie's statement about Gwenn lying leads to a contradiction if Gwenn lies.,Christie's statement about Audrie lying results in a contradiction if Audrie lies.,0.04104308390022676,
18,Delbert is lying.,Audrie tells the truth.,0.040680272108843535,
19,Delbert is lying.,Christie is telling the truth.,0.03673469387755102,
20,"Therefore, Alexis tells the truth.","If Gwenn lies about Delbert, Audrie tells the truth.",0.035238095238095235,
21,"If Audrie tells the truth, then Alexis tells the truth.",Delbert tells the truth implies Audrie tells the truth,0.03460317460317461,
22,"If Alexis is telling the truth, then Christie is lying.","If Gwenn lies about Delbert, Audrie tells the truth.",0.03301587301587301,
23,Delbert is lying.,Alexis does not tell the truth.,0.0326530612244898,
24,Audrie tells the truth.,"Yes, Alexis lies.",0.031292517006802724,
25,Delbert is lying.,"Yes, Alexis lies.",0.027210884353741506,
26,Alexis tells the truth,Delbert tells the truth implies Audrie tells the truth,0.026870748299319732,
27,"Yes, Alexis lies.","If Delbert is lying, Audrie must be telling the truth.",0.02653061224489796,
28,Delbert is lying.,Audrie is lying,0.025986394557823127,
29,"Yes, Alexis lies.","If Audrie tells the truth, then Gwenn lies. If Gwenn tells the truth, Audrie lies.",0.02517006802721089,
30,Audrie tells the truth.,Christie does not tell the truth.,0.024535147392290253,
31,Alexis does not tell the truth.,Gwenn is telling the truth.,0.02312925170068027,
32,"Therefore, Audrie is lying.","Therefore, Christie is lying.",0.02312925170068027,
33,"If Alexis is telling the truth, then Christie is lying.","Therefore, Alexis tells the truth.",0.0219047619047619,
34,Gwenn is telling the truth.,Audrie is lying,0.021224489795918365,
35,"Delbert lies, Gwenn tells the truth about Delbert.",Audrie lies about Gwenn.,0.020725623582766438,
36,"Yes, Alexis lies.","Therefore, Christie is lying.",0.020408163265306124,
37,"If Audrie tells the truth, then Alexis tells the truth.","If Delbert is lying, Audrie must be telling the truth.",0.019999999999999997,
38,Christie's statement about Audrie lying results in a contradiction if Audrie lies.,"Based on the analysis of the chain of statements, Alexis is telling the truth.",0.019637188208616776,
39,Alexis tells the truth,"If Audrie tells the truth, then Alexis tells the truth.",0.01904761904761905,
40,Christie is telling the truth.,Audrie is lying,0.01870748299319728,
41,Christie is telling the truth.,"Yes, Alexis lies.",0.018367346938775515,
42,Audrie's statement about Gwenn lying leads to a contradiction if Gwenn lies.,Christie is lying about Audrie,0.01836734693877551,
43,Christie is telling the truth.,Alexis tells the truth,0.017346938775510207,
44,Alexis tells the truth,Delbert tells the truth,0.017346938775510204,
45,"Delbert lies, Gwenn tells the truth about Delbert.","If Alexis is telling the truth, then Christie is lying.",0.017301587301587297,
46,"Delbert lies, Gwenn tells the truth about Delbert.",Christie tells the truth about Audrie.,0.017120181405895694,
47,"Yes, Alexis lies.","Therefore, Audrie is lying.",0.017006802721088433,
48,Audrie lies about Gwenn.,"If Alexis is telling the truth, then Christie is lying.",0.016825396825396823,
49,Alexis does not tell the truth.,Christie is telling the truth.,0.0163265306122449,
