,Reason i,Reason j,Correlations,Human Score
0,Alexis tells the truth since all statements align if we assume Delbert is lying.,Delbert is lying.,-0.015510204081632653,
1,Alexis tells the truth since all statements align if we assume Delbert is lying.,Gwenn is telling the truth.,-0.015510204081632653,
2,Audrie tells the truth.,"If Audrie tells the truth, then Gwenn lies. If Gwenn tells the truth, Audrie lies.",-0.015918367346938776,
3,"If Gwenn says Delbert lies, and we already assumed Delbert tells the truth, then Gwenn must be lying.","If Audrie tells the truth, then Alexis tells the truth.",-0.01619047619047619,
4,Alexis does not tell the truth.,"Therefore, Alexis tells the truth.",-0.016326530612244896,
5,"If Alexis is telling the truth, then Christie is lying.",Alexis tells the truth,-0.016666666666666663,
6,"If Audrie is telling the truth, then Christie is telling the truth.","If Audrie tells the truth, then Alexis tells the truth.",-0.01714285714285714,
7,Alexis tells the truth since all statements align if we assume Delbert is lying.,Audrie's statement about Gwenn lying leads to a contradiction if Gwenn lies.,-0.017233560090702947,
8,"If Alexis is telling the truth, then Christie is lying.",Delbert tells the truth,-0.017936507936507938,
9,"If Alexis is telling the truth, then Christie is lying.",Audrie is lying,-0.018571428571428572,
10,Delbert is lying.,Christie's statement about Audrie lying results in a contradiction if Audrie lies.,-0.018775510204081632,
11,Gwenn is telling the truth.,Christie's statement about Audrie lying results in a contradiction if Audrie lies.,-0.018775510204081632,
12,Audrie tells the truth.,Audrie's statement about Gwenn lying leads to a contradiction if Gwenn lies.,-0.018820861678004536,
13,"Therefore, Alexis tells the truth.",Alexis tells the truth,-0.019727891156462583,
14,Audrie's statement about Gwenn lying leads to a contradiction if Gwenn lies.,Christie does not tell the truth.,-0.020861678004535145,
15,"If Gwenn lies about Delbert, Audrie tells the truth.","If Gwenn says Delbert lies, and we already assumed Delbert tells the truth, then Gwenn must be lying.",-0.02095238095238095,
16,"Delbert lies, Gwenn tells the truth about Delbert.","If Gwenn says Delbert lies, and we already assumed Delbert tells the truth, then Gwenn must be lying.",-0.021700680272108846,
17,Christie's statement about Audrie lying results in a contradiction if Audrie lies.,"Yes, Alexis lies.",-0.021768707482993192,
18,Delbert is lying.,"If Audrie tells the truth, then Gwenn lies. If Gwenn tells the truth, Audrie lies.",-0.02204081632653061,
19,Gwenn is telling the truth.,"If Audrie tells the truth, then Gwenn lies. If Gwenn tells the truth, Audrie lies.",-0.02204081632653061,
20,Alexis tells the truth,"If Audrie tells the truth, then Gwenn lies. If Gwenn tells the truth, Audrie lies.",-0.0227891156462585,
21,Audrie's statement about Gwenn lying leads to a contradiction if Gwenn lies.,"If Audrie tells the truth, then Gwenn lies. If Gwenn tells the truth, Audrie lies.",-0.024489795918367342,
22,Alexis tells the truth since all statements align if we assume Delbert is lying.,"If Gwenn says Delbert lies, and we already assumed Delbert tells the truth, then Gwenn must be lying.",-0.025374149659863947,
23,Delbert is lying.,Alexis tells the truth,-0.027210884353741492,
24,Gwenn is telling the truth.,Audrie's statement about Gwenn lying leads to a contradiction if Gwenn lies.,-0.02789115646258503,
25,"If Gwenn says Delbert lies, and we already assumed Delbert tells the truth, then Gwenn must be lying.",Christie does not tell the truth.,-0.02795918367346939,
26,"If Audrie is telling the truth, then Christie is telling the truth.",Christie's statement about Audrie lying results in a contradiction if Audrie lies.,-0.028163265306122447,
27,"If Audrie is telling the truth, then Christie is telling the truth.",Christie does not tell the truth.,-0.028163265306122447,
28,"If Alexis is telling the truth, then Christie is lying.","If Audrie tells the truth, then Alexis tells the truth.",-0.02888888888888889,
29,"If Gwenn says Delbert lies, and we already assumed Delbert tells the truth, then Gwenn must be lying.","Yes, Alexis lies.",-0.029251700680272108,
30,Alexis tells the truth since all statements align if we assume Delbert is lying.,"If Alexis is telling the truth, then Christie is lying.",-0.029682539682539685,
31,Alexis does not tell the truth.,Alexis tells the truth,-0.03061224489795918,
32,Christie is telling the truth.,"If Audrie is telling the truth, then Christie is telling the truth.",-0.03061224489795918,
33,Alexis does not tell the truth.,"Yes, Alexis lies.",-0.03129251700680272,
34,Audrie tells the truth.,"If Audrie is telling the truth, then Christie is telling the truth.",-0.03183673469387755,
35,"Therefore, Alexis tells the truth.","Yes, Alexis lies.",-0.03265306122448979,
36,Delbert is lying.,"If Audrie is telling the truth, then Christie is telling the truth.",-0.034557823129251694,
37,Christie is telling the truth.,"If Gwenn says Delbert lies, and we already assumed Delbert tells the truth, then Gwenn must be lying.",-0.03639455782312925,
38,Audrie tells the truth.,"If Gwenn says Delbert lies, and we already assumed Delbert tells the truth, then Gwenn must be lying.",-0.038231292517006805,
39,Audrie's statement about Gwenn lying leads to a contradiction if Gwenn lies.,"Yes, Alexis lies.",-0.0401360544217687,
40,"If Alexis is telling the truth, then Christie is lying.","Yes, Alexis lies.",-0.04285714285714286,
41,Gwenn is telling the truth.,"If Audrie is telling the truth, then Christie is telling the truth.",-0.04408163265306122,
42,"If Alexis is telling the truth, then Christie is lying.",Christie does not tell the truth.,-0.04746031746031746,
43,Audrie tells the truth.,"If Alexis is telling the truth, then Christie is lying.",-0.0488888888888889,
44,"If Alexis is telling the truth, then Christie is lying.",Christie is telling the truth.,-0.051587301587301584,
45,Delbert is lying.,"If Gwenn says Delbert lies, and we already assumed Delbert tells the truth, then Gwenn must be lying.",-0.051836734693877555,
46,Alexis tells the truth,"Yes, Alexis lies.",-0.06122448979591836,
47,Gwenn is telling the truth.,"If Gwenn says Delbert lies, and we already assumed Delbert tells the truth, then Gwenn must be lying.",-0.06136054421768708,
48,Delbert is lying.,"If Alexis is telling the truth, then Christie is lying.",-0.06476190476190477,
49,"If Alexis is telling the truth, then Christie is lying.",Gwenn is telling the truth.,-0.07428571428571429,
